plate,title,author,year,phase,structure
PN-01,Proun 93,El Lissitzky,1924,Proun,Axonometric
PN-02,Proun for the Street,El Lissitzky,1921,Proun,Urban plan
PN-03,OBMOKhU Spatial Constructions,OBMOKhU group,1921,Construction,Space frame
PN-04,Supremus No. 55,Kazimir Malevich,1916,Suprematism,Dynamic field
PN-05,Suprematist Composition,Kazimir Malevich,1915,Suprematism,Static block
PN-06,Suprematist Construction,Ivan Kliun,1917,Suprematism,Layered plane
PN-07,Painterly Architectonic,Lyubov Popova,1918,Construction,Architectonic
PN-08,Proun Relief Study,El Lissitzky,1923,Proun,Relief
PN-09,Non-Objective Construction,Olga Rozanova,1916,Suprematism,Colour field
PN-10,Composition VII study,Wassily Kandinsky,1913,Abstraction,Dynamic mass
PN-11,Red Wedge Diagram,El Lissitzky,1919,Proun,Vector diagram
PN-12,Black Square Module,Kazimir Malevich,1915,Suprematism,Ground zero
